"Latest: Time (min)";"Latest: Temperatur metall (°C)";"Latest: Temperatur svart (°C)"
3,51666666667;25,8771186416;30,2771663284
3,53333333333;25,8974066929;30,3342022898
3,55;25,9032032851;30,3649194102
3,56666666667;25,9249405346;30,41466006
3,58333333333;25,948126992;30,4409974662
3,6;25,9713135206;30,4863630798
3,61666666667;25,9901526353;30,5361288169
3,63333333333;25,9959492979;30,5654076624
3,65;26,0176868367;30,6166544256
3,66666666667;26,0365261116;30,6576599538
3,68333333333;26,0640605743;30,6884188761
3,7;26,0684081371;30,7294371905
3,71666666667;26,0901460213;30,7704628966
3,73333333333;26,1089856209;30,8188241959
3,75;26,1365206006;30,8510708645
3,76666666667;26,1568096798;30,8877204852
3,78333333333;26,1669542689;30,9361073077
3,8;26,1872435508;30,9713044407
3,81666666667;26,1988374906;31,0167758468
3,83333333333;26,2176777471;31,0446501556
3,85;26,2408659406;31,0916045615
3,86666666667;26,2597065058;31,1253594426
3,88333333333;26,2814458041;31,1737997883
3,9;26,2872429848;31,2134411284
3,91666666667;26,3118811711;31,2398728835
3,93333333333;26,330722327;31,2868710154
3,95;26,355361021;31,3324107173
3,96666666667;26,3568103654;31,3662048148
3,98333333333;26,3785506599;31,4073530728
4;26,3944937001;31,4338099685
4,01666666667;26,4104368777;31,4793828311
4,03333333333;26,4423236602;31,5117312034
4,05;26,4510201573;31,5543803404
4,06666666667;26,4626155566;31,5940964959
4,08333333333;26,4785593632;31,6264637927
4,1;26,504649569;31,6558932995
4,11666666667;26,5220432809;31,704461817
4,13333333333;26,5408866934;31,7294867688
4,15;26,5466847144;31,7751289765
4,16666666667;26,5684274979;31,8045814029
4,18333333333;26,5829228701;31,8443494929
4,2;26,5959688329;31,8885461791
4,21666666667;26,6148132198;31,9121220404
4,23333333333;26,6380066734;31,9548609523
4,25;26,6554020323;31,9902385982
4,26666666667;26,6655494335;32,0167763231
4,28333333333;26,6756969159;32,0492165745
4,3;26,701790821;32,0934626482
4,31666666667;26,7177373705;32,1200155097
4,33333333333;26,7365835668;32,161327786
4,35;26,7409327318;32,1982218425
4,36666666667;26,7583295545;32,2218380686
4,38333333333;26,7742768738;32,26022118
4,4;26,7902244187;32,2882756824
4,41666666667;26,8119714408;32,3237193872
4,43333333333;26,830819212;32,3621248885
4,45;26,8351687448;32,3990612992
4,46666666667;26,8525670549;32,4241825869
4,48333333333;26,8699656549;32,4640886771
4,5;26,8931642476;32,498090124
4,51666666667;26,9076636391;32,5202686516
4,53333333333;26,925063189;32,5542813823
4,55;26,9366630608;32,5794256448
4,56666666667;26,9511630964;32,6134503586
4,58333333333;26,9598632232;32,6489618067
4,6;26,9772637172;32,6741203429
4,61666666667;26,9888642265;32,7052038183
4,63333333333;27,0135157936;32,7466575809
4,65;27,0265668939;32,7718310516
4,66666666667;27,0454188194;32,7970084044
4,68333333333;27,0497693207;32,8325595397
4,7;27,0671715418;32,8696002749
4,71666666667;27,0889248096;32,8947928373
4,73333333333;27,0990765239;32,9333302898
4,75;27,1193803186;32,9644634798
4,76666666667;27,1338833315;32,9852223235
4,78333333333;27,1454859253;33,0148825286
4,8;27,151287284;33,0519656173
4,81666666667;27,1643404923;33,0697686035
4,83333333333;27,1744931337;33,1009286934
4,85;27,1991500868;33,1410008013
4,86666666667;27,2165554597;33,1677212759
4,88333333333;27,218005925;33,1899918582
4,9;27,2368622214;33,2211760698
4,91666666667;27,2470158038;33,2612793479
4,93333333333;27,2658728173;33,285049208
4,95;27,2861809003;33,3162527697
4,96666666667;27,2977857688;33,3489490859
4,98333333333;27,3122921124;33,3771924953
5;27,3137427626;33,3950331613
5,01666666667;27,3224467248;33,4232852088
5,03333333333;27,3384042615;33,4574921774
5,05;27,350009966;33,4812929479
5,06666666667;27,3630666105;33,5110492614
5,08333333333;27,3732219457;33,5378350448
5,1;27,3935330593;33,5556949277
5,11666666667;27,4065905186;33,5810001293
5,13333333333;27,4138447701;33,6048207652
5,15;27,4283535048;33,6360912213
5,16666666667;27,4327061858;33,6569419074
5,18333333333;27,4341570857;33,6777955753
5,2;27,4428625508;33,6912030833
5,21666666667;27,4559209608;33,7180218153
5,23333333333;27,4675286515;33,7314330438
5,25;27,4762345534;33,7508070161
5,26666666667;27,4805875475;33,7701835918
5,28333333333;27,4834895597;33,7776368155
5,3;27,4921956736;33,7895627776
5,31666666667;27,5023529537;33,8014897306
5,33333333333;27,5038040067;33,8149087392
5,35;27,5081571852;33,8342939737
5,36666666667;27,5110593206;33,8477160623
5,38333333333;27,5183147164;33,8506989201
5,4;27,5183147164;33,8536818405
5,41666666667;27,5226679932;33,8641225536
5,43333333333;27,5270212997;33,873072346
5,45;27,5270212997;33,8775474535
5,46666666667;27,5270212997;33,8850062793
5,48333333333;27,5284724084;33,8924654971
5,5;27,5284724084;33,8954492941
5,51666666667;27,5284724084;33,8999251072
5,53333333333;27,5284724084;33,9029090612
5,55;27,5284724084;33,9058930781
5,56666666667;27,5284724084;33,9088771578
5,58333333333;27,5284724084;33,9103692213
5,6;27,5284724084;33,9088771578
5,61666666667;27,5284724084;33,9029090612
5,63333333333;27,5270212997;33,8999251072
5,65;27,5270212997;33,8924654971
5,66666666667;27,5270212997;33,8864980915
5,68333333333;27,5270212997;33,8775474535
5,7;27,5255701942;33,8745640329
