"Latest: Time (min)";"Latest: Temperatur metall (°C)";"Latest: Temperatur svart (°C)"
5,78333333333;26,8250198626;36,6505460251
5,8;26,8206703711;36,6368143322
5,81666666667;26,8163208972;36,6047804855
5,83333333333;26,8090718129;36,5758056274
5,85;26,8119714408;36,5605588024
5,86666666667;26,8003729754;36,534644095
5,88333333333;26,7974733782;36,5102594005
5,9;26,7916742068;36,4645527343
5,91666666667;26,7873248481;36,4447524225
5,93333333333;26,7829755065;36,4112523158
5,95;26,7815257297;36,3747183412
5,96666666667;26,7728271083;36,3534124264
5,98333333333;26,7655783083;36,3184187337
6;26,7597793016;36,2773532234
6,01666666667;26,7597793016;36,2393430707
6,03333333333;26,7510808466;36,2135035366
6,05;26,7409327318;36,1739957471
6,06666666667;26,7380332867;36,1360205529
6,08333333333;26,7380332867;36,1086863149
6,1;26,7365835668;36,0616261285
6,11666666667;26,7278852851;36,0343097951
6,13333333333;26,7177373705;35,9857635644
6,15;26,7133882907;35,9508836711
6,16666666667;26,704690178;35,9175302004
6,18333333333;26,6959921277;35,8660028958
6,2;26,6858444803;35,8357034314
6,21666666667;26,6756969159;35,7872407193
6,23333333333;26,6669990689;35,7584755149
6,25;26,6655494335;35,7130711653
6,26666666667;26,6626501678;35,6601215976
6,28333333333;26,6539524102;35,6328996468
6,3;26,6438051005;35,576963059
6,31666666667;26,6351074695;35,5376720083
6,33333333333;26,6278594876;35,4953730249
6,35;26,6104644919;35,4410105346
6,36666666667;26,6032166432;35,3987455559
6,38333333333;26,5930697195;35,3610214436
6,4;26,5843724155;35,3127516713
6,41666666667;26,572776094;35,2614859565
6,43333333333;26,5669779688;35,2253113025
6,45;26,558280825;35,1650438208
6,46666666667;26,5466847144;35,1319092224
6,48333333333;26,545235207;35,0762027699
6,5;26,5408866934;35,0370725668
6,51666666667;26,5278412289;34,9784001411
6,53333333333;26,5220432809;34,9393003623
6,55;26,5104474512;34,8896910985
6,56666666667;26,4974022465;34,8446085494
6,58333333333;26,4814582539;34,7890286201
6,6;26,4727615974;34,745482771
6,61666666667;26,4626155566;34,6959484488
6,63333333333;26,4524695778;34,6434326911
6,65;26,4510201573;34,5909380538
6,66666666667;26,4452224876;34,544460334
6,68333333333;26,4307283994;34,5039930814
6,7;26,4162344317;34,4560478906
6,71666666667;26,4031899615;34,3931460002
6,73333333333;26,3944937001;34,3452405616
6,75;26,3857974795;34,312315453
6,76666666667;26,3771012993;34,2494806501
6,78333333333;26,3626077534;34,1986356138
6,8;26,3539116777;34,12090907
6,81666666667;26,3539116777;34,0701115232
6,83333333333;26,3437663041;34,016346115
6,85;26,3336209814;33,9730501284
6,86666666667;26,326374353;33,9252907215
6,88333333333;26,3133304849;33,8611394146
6,9;26,2944894817;33,8149087392
6,91666666667;26,2843443926;33,7761461399
6,93333333333;26,2828950979;33,7269624961
6,95;26,2770979282;33,6792852374
6,96666666667;26,2640543494;33,6241778792
6,98333333333;26,2553586701;33,5720683855
7;26,2408659406;33,5303940635
7,01666666667;26,2220255175;33,469392088
7,03333333333;26,2133299839;33,4262594177
7,05;26,2002867364;33,3831391494
7,06666666667;26,1901420312;33,3370587009
7,08333333333;26,1857943116;33,286534947
7,1;26,1814465987;33,2345426652
7,11666666667;26,1640558114;33,1870222619
7,13333333333;26,1611573567;33,1395164653
7,15;26,1495635652;33,0875736098
7,16666666667;26,1394190326;33,0430648802
7,18333333333;26,1307237442;32,9881880941
7,2;26,1205792696;32,9540850741
7,21666666667;26,0988412092;32,8947928373
7,23333333333;26,0901460213;32,8562646314
7,25;26,0800016605;32,7970084044
7,26666666667;26,0698573257;32,7644266873
7,28333333333;26,0655097614;32,70372352
7,3;26,0611622016;32,6696803236
7,31666666667;26,0437720064;32,6134503586
7,33333333333;26,029280228;32,5749881483
7,35;26,0176868367;32,5217473235
7,36666666667;26,007542641;32,4788710794
7,38333333333;25,9959492979;32,4286161371
7,4;25,9945001317;32,3901958389
7,41666666667;25,9872543062;32,3443982156
7,43333333333;25,9771101652;32,2897523597
7,45;25,9655168812;32,2425048578
7,46666666667;25,955372774;32,2085535534
7,48333333333;25,9452286812;32,161327786
7,5;25,9307371429;32,112639321
7,51666666667;25,916245629;32,0654388765
7,53333333333;25,9032032851;32,0138274963
7,55;25,9003049886;31,9858160188
7,56666666667;25,8916101035;31,9283321865
7,58333333333;25,8814660786;31,8929664248
7,6;25,8713220609;31,8384573919
7,61666666667;25,8655254823;31,7972178652
7,63333333333;25,845237471;31,7589320979
7,65;25,8307460443;31,7132937785
7,66666666667;25,823500333;31,6603081124
7,68333333333;25,809008913;31,6249924349
7,7;25,7988649197;31,5793858674
7,71666666667;25,7901700679;31,5293780015
7,73333333333;25,7800260729;31,4926156176
7,75;25,7771277882;31,4367498392
7,76666666667;25,7655346473;31,4044136329
7,78333333333;25,7539415016;31,3544497081
7,8;25,7466957824;31,3133121879
7,81666666667;25,7307551901;31,2648393068
7,83333333333;25,7148145806;31,2178461872
7,85;25,7075688423;31,1884808885
7,86666666667;25,6945265014;31,1385693405
7,88333333333;25,6843824468;31,1048123531
7,9;25,6829332952;31,0475845038
7,91666666667;25,6742383808;31,0182428256
7,93333333333;25,6553993678;30,9669044882
7,95;25,6394586268;30,9302416702
7,96666666667;25,6336619844;30,87745798
7,98333333333;25,6191703549;30,8481391564
8;25,6119245269;30,805633718
8,01666666667;25,6003311827;30,7558100062
8,03333333333;25,5887378132;30,7235769802
8,05;25,5887378132;30,6767007067
